slug,locale,silo,title,scenarios,variables,sources,publishers,faq,routes,depthScore,depthPercentile,peerHubs,lastReviewed
"negocios/comisiones-de-plataforma","es","negocios","De cada venta, ¿cuánto te queda de verdad?","10","6","8","8","12","12","64","95","211","2026-07-27"
"negocios/creador-de-contenido","es","negocios","¿Cuánto vale tu cuenta y cuánto podés cobrar?","4","11","5","5","12","8","47","56","211","2026-07-27"
"negocios/cuanto-vale-mi-negocio","es","negocios","¿Cuánta plata necesito, cuánto rinde y cuánto vale mi negocio?","5","26","7","7","12","8","68","98","211","2026-07-27"
"negocios/indicadores-de-marca","es","negocios","Mi NPS es 32: ¿está bien o mal?","4","16","7","6","12","4","52","74","211","2026-07-27"
"negocios/ingresos-por-plataforma","es","negocios","Un millón de views no vale lo mismo en todos lados.","5","27","8","7","12","13","76","100","211","2026-07-27"
"negocios/metricas-de-marketing","es","negocios","No optimices clicks. Optimizá clientes rentables.","4","12","6","6","12","17","59","91","211","2026-07-27"
"negocios/precio-de-venta","es","negocios","Tenés un costo y una duda: ¿a cuánto lo vendo?","6","7","4","4","12","10","47","56","211","2026-07-27"
"negocios/publicar-en-redes","es","negocios","¿Cómo publico en cada red para que rinda?","5","17","5","4","14","6","53","77","211","2026-07-28"
"negocios/tarifas-por-hora","es","negocios","¿Cuánto se cobra la hora en mi oficio?","4","14","7","7","12","8","54","81","211","2026-07-27"
"negocios/vender-mi-contenido","es","negocios","¿Cuánto deja vender mi propia obra?","4","17","8","8","12","6","57","87","211","2026-07-27"
"nutricion","es","nutricion","Comer mejor empieza por conocer lo que necesitás.","8","16","13","12","23","2","70","13","30","2026-08-31"
"nutricion/calorias-diarias","es","nutricion","Tus calorías no son un número fijo.","4","9","8","8","11","5","48","60","211","2026-07-27"
"nutricion/nutricion-deportiva","es","nutricion","Qué tomar antes, durante y después de entrenar","4","7","5","4","12","5","40","27","211","2026-07-27"
"ocio","es","ocio","Más planes que valen la pena. Menos gastos que sorprenden.","8","26","11","9","24","2","76","17","30","2026-08-31"
"ocio/numeros-de-videojuegos","es","ocio","¿Qué número necesito para mi juego?","4","16","7","6","12","4","52","74","211","2026-07-28"
"ocio/tiempo-de-juego","es","ocio","¿Cuánto tiempo me va a llevar terminarlo?","4","10","4","3","12","5","41","31","211","2026-07-27"
"pe","es-PE","pe","Calculadoras para Perú","60","120","92","36","183","23","457","100","8","2026-08-31"
"pe/auto","es-PE","auto","Auto","4","8","6","6","12","1","39","25","8","2026-08-31"
"pe/auto/costos-del-auto","es-PE","auto","¿Cuánto me cuesta al año tener el auto al día en el Perú?","4","8","6","6","12","4","42","56","16","2026-08-07"
"pe/estudio","es-PE","estudio","Estudiar en Perú","2","10","7","7","7","1","36","13","8","2026-08-31"
"pe/estudio/estudiar-y-aprobar","es-PE","estudio","¿Cuánto cuesta estudiar y qué nota necesito?","2","10","7","7","7","2","37","13","16","2026-08-16"
"pe/finanzas-personales","es-PE","finanzas-personales","Finanzas personales","9","13","10","7","24","2","63","63","8","2026-08-31"
"pe/finanzas-personales/afp-onp-y-jubilacion","es-PE","finanzas-personales","¿AFP u ONP, y cuánto voy a cobrar cuando me jubile?","4","7","5","4","12","4","39","25","16","2026-07-28"
"pe/finanzas-personales/creditos-y-ahorro","es-PE","finanzas-personales","¿Cuánto voy a pagar de verdad por este crédito, o cuánto gano si ahorro?","5","6","5","4","12","5","41","38","16","2026-07-28"
"pe/hogar","es-PE","hogar","Hogar","5","11","10","9","19","2","53","50","8","2026-08-31"
"pe/hogar/costo-de-construir","es-PE","hogar","¿Cuánto cuesta construir mi casa?","1","2","3","3","7","1","18","6","16","2026-08-16"
"pe/hogar/presupuesto-mensual","es-PE","hogar","¿Cuánto necesito por mes para vivir en el Perú, y me alcanza?","4","9","7","7","12","8","49","100","16","2026-07-28"
"pe/impuestos","es-PE","impuestos","Impuestos","16","28","24","6","49","4","122","75","8","2026-08-31"
"pe/impuestos/igv-y-compras","es-PE","impuestos","¿Cuánto impuesto se le suma a lo que compro o cobro?","4","7","6","2","12","5","42","56","16","2026-07-28"
"pe/impuestos/impuestos-del-inmueble","es-PE","impuestos","Tengo, compro o vendo un inmueble: ¿qué impuestos pago?","4","9","6","4","12","4","43","63","16","2026-07-28"
"pe/impuestos/que-regimen-tributario-elijo","es-PE","impuestos","Voy a formalizar mi negocio: ¿qué régimen tributario me conviene?","4","6","6","2","12","5","41","38","16","2026-07-28"
"pe/impuestos/renta-de-personas","es-PE","impuestos","Impuesto a la renta en Perú: cuánto te toca pagar según de dónde viene tu plata.","4","6","6","2","13","10","46","94","16","2026-08-16"
"pe/trabajo","es-PE","trabajo","Trabajo","20","38","30","12","60","5","153","88","8","2026-08-31"
"pe/trabajo/dias-que-no-trabajo","es-PE","trabajo","Vacaciones, feriado, falta o descanso médico: ¿cómo se paga el día que no trabajo?","4","9","6","5","12","5","44","81","16","2026-07-28"
"pe/trabajo/dinero-por-hijos","es-PE","trabajo","Tengo un hijo: ¿qué plata me corresponde?","4","7","6","5","12","5","42","56","16","2026-07-28"
"pe/trabajo/liquidacion-y-beneficios","es-PE","trabajo","Me voy o me despiden: ¿cuánto me tienen que pagar?","4","9","6","3","12","6","45","88","16","2026-08-16"
"pe/trabajo/regimenes-especiales","es-PE","trabajo","No estoy en el régimen general privado: ¿qué me corresponde?","4","9","6","5","12","5","44","81","16","2026-07-28"
"pe/trabajo/sueldo-neto","es-PE","trabajo","Tu sueldo en Perú: lo que te descuentan, lo que te queda y lo que cuesta.","4","4","6","5","12","4","38","19","16","2026-08-16"
"pe/tramites","es-PE","tramites","Trámites","4","12","5","5","12","1","41","38","8","2026-08-31"
"pe/tramites/tramites-del-estado","es-PE","tramites","¿Cuánto me cuesta ese trámite o esa multa?","4","12","5","5","12","4","44","81","16","2026-07-28"
"pt","pt-BR","pt","Descubra o número antes de tomar a decisão.","143","348","414","147","308","32","1504","100","7","2026-08-31"
"pt-pt","pt-PT","pt-pt","Não faça só a conta. Saiba o próximo passo.","30","80","45","12","90","12","252","100","5","2026-08-31"
"pt-pt/familia","pt-PT","familia","Família","4","13","6","4","12","1","44","20","5","2026-08-31"
"pt-pt/familia/filhos","pt-PT","familia","Quanto custam os filhos — e o que o Estado devolve.","4","13","6","4","12","4","47","88","8","2026-07-28"
"pt-pt/financas","pt-PT","financas","Finanças","9","27","14","9","30","3","86","80","5","2026-08-31"
"pt-pt/financas/credito-habitacao","pt-PT","financas","Aguenta a prestação — e vale a pena amortizar?","4","12","6","5","11","4","46","63","8","2026-07-28"
"pt-pt/financas/impostos-do-automovel","pt-PT","financas","Quanto vou pagar de ISV e IUC?","2","8","3","3","7","2","27","13","8","2026-08-16"
"pt-pt/financas/reforma-e-apoios","pt-PT","financas","Quando o salário deixa de entrar: o que o Estado garante.","3","7","5","2","12","3","36","25","8","2026-07-28"
"pt-pt/impostos","pt-PT","impostos","Impostos","8","19","12","4","24","2","71","40","5","2026-08-31"
"pt-pt/impostos/casa","pt-PT","impostos","Os impostos de comprar e de ter casa.","4","8","6","3","12","4","42","38","8","2026-07-28"
"pt-pt/impostos/irs","pt-PT","impostos","IRS: quanto paga, quanto lhe devolvem e quando recebe.","4","11","6","3","12","4","45","50","8","2026-08-16"
"pt-pt/trabalho","pt-PT","trabalho","Trabalho","9","21","13","3","24","2","77","60","5","2026-08-31"
"pt-pt/trabalho/ferias-baixas-e-licencas","pt-PT","trabalho","Os dias em que não trabalha — e quanto recebe por eles.","5","12","6","2","12","6","50","100","8","2026-07-28"
"pt-pt/trabalho/salario-liquido","pt-PT","trabalho","Do salário bruto ao que entra na conta.","4","9","7","3","12","6","47","88","8","2026-08-16"
"pt/casa","pt-BR","casa","Energia da casa","15","31","93","32","31","3","260","71","7","2026-08-31"
"pt/casa/energia-da-casa","pt-BR","casa","Quanto de energia minha casa consome?","3","10","33","10","7","3","92","77","26","2026-08-16"
"pt/casa/obra-e-manutencao","pt-BR","casa","Quanto material e dinheiro preciso para a casa?","7","15","22","17","14","7","90","73","26","2026-08-16"
"pt/casa/plantar-e-reduzir-impacto","pt-BR","casa","Quando plantar e qual é o impacto da minha escolha?","5","6","38","13","10","5","107","81","26","2026-08-16"
"pt/dinheiro","pt-BR","dinheiro","Dinheiro","32","72","42","12","84","7","237","57","7","2026-08-31"
"pt/dinheiro/alugar-um-imovel","pt-BR","dinheiro","Alugar: quanto custa entrar, ficar e sair antes da hora?","5","12","5","2","12","6","48","38","26","2026-07-28"
"pt/dinheiro/comprar-em-dolar-iof","pt-BR","dinheiro","Quanto o dólar realmente custa quando você paga a conta.","4","8","5","3","12","4","40","15","26","2026-07-28"
"pt/dinheiro/comprar-um-imovel","pt-BR","dinheiro","Comprar um imóvel: quanto preciso ter na mão e quanto pago por mês?","5","12","8","4","12","8","56","58","26","2026-07-28"
"pt/dinheiro/heranca-e-familia","pt-BR","dinheiro","Herança, divórcio e pensão: quanto custa acertar isso?","5","12","7","4","12","4","50","46","26","2026-07-28"
"pt/dinheiro/imposto-de-renda","pt-BR","dinheiro","Quanto você paga (ou recebe de volta) no imposto de renda.","4","13","6","2","12","3","46","31","26","2026-08-16"
"pt/dinheiro/investir-renda-fixa","pt-BR","dinheiro","Onde colocar o dinheiro, considerando o que o imposto leva.","4","10","7","4","12","7","49","42","26","2026-07-28"
"pt/dinheiro/simples-nacional","pt-BR","dinheiro","Em que anexo você cai e quanto sai o DAS deste mês.","5","5","4","3","12","6","39","12","26","2026-07-28"
"pt/matematica","pt-BR","matematica","Matemática","19","50","67","26","46","4","236","43","7","2026-08-31"
"pt/matematica/converter-medidas","pt-BR","matematica","Como converto esta medida sem errar?","4","9","12","6","8","4","53","54","26","2026-08-16"
"pt/matematica/estatistica-e-probabilidade","pt-BR","matematica","Qual é a chance disso acontecer?","3","7","4","4","12","4","35","4","26","2026-07-28"
"pt/matematica/geometria-e-trigonometria","pt-BR","matematica","Como calculo essa figura?","3","9","4","4","12","4","37","8","26","2026-07-28"
"pt/matematica/resolver-contas","pt-BR","matematica","Como resolvo esta conta de ciência ou matemática?","9","25","47","16","14","9","156","100","26","2026-08-16"
"pt/trabalho","pt-BR","trabalho","Trabalho","30","52","40","10","72","6","208","29","7","2026-08-31"
"pt/trabalho/aposentadoria-inss","pt-BR","trabalho","Quando eu posso me aposentar — e quanto vai cair na conta?","8","11","7","2","12","8","59","62","26","2026-07-28"
"pt/trabalho/beneficios-do-governo","pt-BR","trabalho","Tenho direito a algum benefício do governo — e de quanto é?","3","8","7","3","12","3","41","19","26","2026-07-28"
"pt/trabalho/ferias-e-decimo-terceiro","pt-BR","trabalho","Férias e 13º: o valor certo e a data em que cai.","5","6","6","3","12","5","43","23","26","2026-08-16"
"pt/trabalho/quanto-custa-contratar","pt-BR","trabalho","Quanto custa ter alguém trabalhando pra mim?","4","10","8","5","12","4","48","38","26","2026-07-28"
"pt/trabalho/rescisao-clt","pt-BR","trabalho","Saí do emprego: quanto entra na minha conta?","5","7","6","3","12","7","46","31","26","2026-08-16"
"pt/trabalho/salario-liquido","pt-BR","trabalho","Do bruto ao que cai na conta: onde foi parar o seu salário.","5","10","6","3","12","10","52","50","26","2026-08-16"
"pt/veiculos","pt-BR","veiculos","Veículos","5","26","8","7","12","1","63","14","7","2026-08-31"
"pt/veiculos/custo-do-carro","pt-BR","veiculos","Quanto o carro custa por mês, de verdade.","5","26","8","7","12","10","72","65","26","2026-07-28"
"pt/vida","pt-BR","vida","Cálculos do dia a dia","42","117","164","78","63","5","544","86","7","2026-08-31"
"pt/vida/aprender-e-passar","pt-BR","vida","Quanto preciso estudar ou tirar para passar?","7","23","17","12","14","7","88","69","26","2026-08-16"
"pt/vida/capacidade-custo-e-consumo","pt-BR","vida","Quanto custa, consome ou demora minha tecnologia?","11","25","33","21","14","11","134","92","26","2026-08-16"
"pt/vida/comida-para-receitas-e-festas","pt-BR","vida","Quanto de comida eu preciso preparar?","10","30","29","22","14","10","128","88","26","2026-08-16"
"pt/vida/decisoes-e-calculos-do-dia-a-dia","pt-BR","vida","Qual é o número para decidir melhor no dia a dia?","3","6","50","11","7","3","122","85","26","2026-08-16"
"pt/vida/treino-e-desempenho","pt-BR","vida","Quanto devo treinar e qual é o meu resultado?","11","33","35","28","14","11","146","96","26","2026-08-16"
"py","es-PY","py","Las cuentas de todos los días, en guaraníes.","35","87","41","19","104","15","264","100","6","2026-08-31"
"py/automotor","es-PY","automotor","Automotor","4","10","4","4","12","1","37","33","6","2026-08-31"
"py/automotor/tener-auto","es-PY","automotor","¿Cuánto te cuesta el auto, de punta a punta?","4","10","4","4","12","4","40","60","10","2026-07-28"
"py/finanzas","es-PY","finanzas","Finanzas","7","27","10","6","19","2","73","67","6","2026-08-31"
"py/finanzas/guaranies","es-PY","finanzas","¿Cuánto vale tu plata en guaraníes?","4","12","4","3","12","6","44","100","10","2026-08-16"
"py/finanzas/presupuesto-familiar-y-viajes","es-PY","finanzas","¿Cuánto necesito por mes o para el viaje?","3","15","6","5","7","3","43","80","10","2026-08-16"
"py/impuestos","es-PY","impuestos","Impuestos","4","7","5","3","12","1","36","17","6","2026-08-31"
"py/impuestos/cuanto-pago","es-PY","impuestos","¿Cuánto le pagás al fisco por lo que ganás?","4","7","5","3","12","4","39","50","10","2026-07-28"
"py/trabajo","es-PY","trabajo","Trabajo","14","26","15","7","42","4","98","83","6","2026-08-31"
"py/trabajo/dias-y-notas","es-PY","trabajo","¿Cuántos días o qué promedio tengo?","2","7","4","4","7","2","28","20","10","2026-08-16"
"py/trabajo/ips","es-PY","trabajo","¿Cuánto aportás al IPS y qué te devuelve?","4","5","4","3","11","4","35","30","10","2026-08-04"
"py/trabajo/liquidacion-final","es-PY","trabajo","Te vas del trabajo: ¿cuánto te tienen que pagar?","4","6","3","3","12","7","37","40","10","2026-08-16"
"py/trabajo/sueldo-neto","es-PY","trabajo","Tu bruto dice una cosa. Tu cuenta recibe otra.","4","8","4","3","12","10","44","100","10","2026-08-16"
"py/vivienda","es-PY","vivienda","Vivienda","6","17","7","7","19","2","55","50","6","2026-08-31"
"py/vivienda/casa-propia","es-PY","vivienda","¿Cuánto cuesta de verdad tu casa propia?","4","8","5","5","12","5","41","70","10","2026-07-28"
"py/vivienda/organizar-un-evento","es-PY","vivienda","¿Cuánto comprar para el evento?","2","9","2","2","7","2","26","10","10","2026-08-16"
"salud","es","salud","Entendé tu cuerpo sin perderte en resultados.","86","133","92","60","184","16","515","100","30","2026-08-31"
"salud/calorias-de-los-alimentos","es","salud","¿Qué tiene realmente lo que comés?","6","11","6","6","12","16","61","93","211","2026-07-27"
"salud/calorias-quemadas","es","salud","¿Cuánto quemaste de verdad?","4","7","5","5","12","19","54","81","211","2026-07-27"
"salud/crecimiento-infantil","es","salud","¿Está creciendo bien tu hijo?","4","7","4","4","9","7","39","25","211","2026-07-27"
"salud/cuanto-dormir","es","salud","¿Cuánto tenés que dormir?","4","5","4","4","11","8","39","25","211","2026-07-27"
"salud/frecuencia-cardiaca","es","salud","Entendé tu pulso. Entrená con un rango, no a ciegas.","6","5","6","6","12","11","50","68","211","2026-07-27"
"salud/fuerza-y-gimnasio","es","salud","Cuánto levantás, cuánto descansás y cuándo volvés a entrenar","5","11","5","5","12","11","52","74","211","2026-07-27"
"salud/grasa-corporal","es","salud","Dos cuerpos pueden pesar lo mismo y estar compuestos distinto.","4","11","9","5","12","8","55","84","211","2026-08-04"
"salud/habitos","es","salud","Medí el hábito. Entendé el riesgo. Elegí mejor.","4","16","10","7","12","18","72","99","211","2026-07-27"
"salud/macros","es","salud","¿Cómo reparto mis macros?","11","3","4","4","11","8","51","70","211","2026-07-27"
"salud/nutrientes-diarios","es","salud","¿Cuánto necesito por día de cada nutriente?","8","5","5","4","12","9","50","68","211","2026-07-27"
"salud/peso-en-el-embarazo","es","salud","¿Cuánto peso tengo que subir en el embarazo?","6","7","4","4","11","7","44","41","211","2026-07-31"
"salud/peso-ideal-imc","es","salud","Calculá tu IMC yconocé tu rangosaludable","1","5","8","6","10","4","37","15","211","2026-08-16"
"salud/plan-de-carrera","es","salud","Te anotaste a una carrera. Veamos si llegás.","6","7","4","4","12","6","43","38","211","2026-07-27"
"salud/proteina","es","salud","Tu proteína diaria, llevada al plato.","6","6","5","5","12","8","46","52","211","2026-07-27"
"salud/ritmo-y-pace","es","salud","¿A qué ritmo tengo que correr?","6","12","4","4","12","7","49","63","211","2026-07-27"
"salud/sueno-y-pantallas","es","salud","¿Cuántas horas de sueño y de pantalla deberíamos tener?","5","15","9","9","12","5","58","88","211","2026-07-27"
"tecnologia","es","tecnologia","Menos siglas. Más respuestas útiles.","46","171","68","50","144","12","421","90","30","2026-08-31"
"tecnologia/ajustes-de-camara","es","tecnologia","La foto que imaginás empieza antes del clic.","4","8","4","3","12","4","38","19","211","2026-07-27"
"tecnologia/almacenamiento","es","tecnologia","¿Cuántos GB son y cuánto espacio me queda de verdad?","1","6","6","6","12","7","37","15","211","2026-07-27"
"tecnologia/audio","es","tecnologia","Audio: BPM, tempo, afinación y decibeles","9","18","6","6","12","9","67","96","211","2026-07-27"
"tecnologia/baterias","es","tecnologia","Sabé cuánto dura antes de quedarte sin energía.","5","16","7","5","12","9","59","91","211","2026-07-27"
"tecnologia/costo-de-ia","es","tecnologia","¿Cuánto te va a costar la IA este mes?","4","19","4","3","12","8","53","77","211","2026-07-27"
"tecnologia/fotografia","es","tecnologia","De la cámara a la pared, sin adivinar.","4","13","7","7","12","16","61","93","211","2026-07-27"
"tecnologia/gaming","es","tecnologia","Tu PC, medida en lo que realmente importa.","4","22","5","5","12","12","62","95","211","2026-07-27"
"tecnologia/impresion-3d","es","tecnologia","De un archivo STLa un precio quesí te deja ganancia.","1","17","6","4","12","9","50","68","211","2026-07-27"
"tecnologia/instalacion-electrica","es","tecnologia","El cable correcto.La protección correcta.","5","20","5","4","12","8","58","88","211","2026-07-27"
"tecnologia/internet-y-red","es","tecnologia","¿Me alcanzan los megas? ¿Cuánto tarda esta descarga?","1","12","6","5","12","10","46","52","211","2026-07-27"
"tecnologia/nitidez-y-encuadre","es","tecnologia","¿Qué va a salir nítido y cuánto entra en el cuadro?","4","4","6","6","12","4","38","19","211","2026-07-28"
"tecnologia/resistencias","es","tecnologia","La resistencia correcta protege el componente y hace predecible el circuito.","4","16","6","5","12","9","55","84","211","2026-07-27"
"trabajo","es","trabajo","Entendé tu sueldo. Defendé mejor tu trabajo.","52","79","63","25","129","12","331","80","30","2026-08-31"
"trabajo/aguinaldo","es","trabajo","Tu mejor sueldo tiene una segunda mitad.","4","4","5","3","10","6","38","19","211","2026-07-27"
"trabajo/costo-de-un-empleado","es","trabajo","El sueldo es sólo una parte del costo.","4","8","6","1","11","8","46","52","211","2026-08-07"
"trabajo/empleada-domestica","es","trabajo","Sabé cuánto cobra ella y cuánto te cuesta a vos.","4","5","5","3","11","5","38","19","211","2026-07-27"
"trabajo/horas-extra","es","trabajo","Cada hora de más tiene un valor distinto.","4","12","6","2","12","10","52","74","211","2026-07-27"
"trabajo/indemnizacion-por-despido","es","trabajo","Te despidieron.Veamos si la cuenta está bien.","8","5","3","3","8","8","43","38","211","2026-08-04"
"trabajo/liquidacion-final","es","trabajo","Te vas del trabajo.Veamos cuántote tienen que pagar.","4","6","4","4","11","5","37","15","211","2026-08-07"
"trabajo/liquidacion-latam","es","trabajo","Terminás el trabajo: veamos qué te tienen que pagar.","6","10","9","8","12","11","61","93","211","2026-07-28"
"trabajo/seguro-de-desempleo","es","trabajo","Sabé cuánto cobrarías y por cuánto tiempo.","3","5","7","2","11","3","38","19","211","2026-07-27"
"trabajo/sueldo-bruto-y-neto","es","trabajo","Del sueldo brutoal dinero quete queda en mano.","4","8","5","3","10","5","41","31","211","2026-07-31"
"trabajo/sueldo-vs-inflacion","es","trabajo","Tu sueldo subió. ¿Pero te alcanza para más?","5","5","5","5","12","12","47","56","211","2026-07-27"
"trabajo/sueldos-por-convenio","es","trabajo","Tu convenio dice cuánto deberías estar cobrando.","1","4","4","3","9","18","41","31","211","2026-08-31"
"trabajo/vacaciones","es","trabajo","¿Cuántos días te corresponden y cuánto cobrás?","5","7","4","2","12","11","46","52","211","2026-07-27"
"tramites","es","tramites","Trámites","8","6","5","5","12","1","43","7","30","2026-08-31"
"tramites/dni-y-pasaporte","es","tramites","DNI, pasaporte y trámites: ¿cuánto cuesta y qué necesito?","8","6","5","5","12","7","49","63","211","2026-07-27"
"uy","es-UY","uy","Calculadoras para Uruguay","36","65","52","21","106","14","265","100","4","2026-08-31"
"uy/finanzas","es-UY","finanzas","Finanzas","14","28","21","12","43","5","113","75","4","2026-08-31"
"uy/finanzas/costos-del-auto","es-UY","finanzas","¿Cuánto cuesta tener y usar el auto?","2","8","4","3","7","2","29","27","11","2026-08-16"
"uy/finanzas/cuentas-y-compras","es-UY","finanzas","¿Cuánto termino pagando?","2","5","4","3","7","2","26","9","11","2026-08-16"
"uy/finanzas/cuotas-y-prestamos","es-UY","finanzas","¿Cuánto voy a pagar por mes?","2","7","4","3","7","2","28","18","11","2026-08-16"
"uy/finanzas/jubilacion","es-UY","finanzas","¿A qué edad te podés jubilar en Uruguay y con cuánto te quedás?","4","4","4","3","11","4","34","45","11","2026-07-28"
"uy/finanzas/unidades-y-valores","es-UY","finanzas","De unidades a pesos, sin perderte en la sigla.","4","4","5","4","11","6","38","73","11","2026-07-28"
"uy/impuestos","es-UY","impuestos","Impuestos","8","15","10","4","22","2","63","25","4","2026-08-31"
"uy/impuestos/trabajo-independiente","es-UY","impuestos","Facturar no es lo mismo que ganar.","4","7","4","2","11","4","37","64","11","2026-07-28"
"uy/impuestos/vivienda","es-UY","impuestos","Tu casa, del escribano a la venta: ¿cuánto pagás de impuestos en cada etapa?","4","8","6","3","11","6","44","91","11","2026-07-28"
"uy/trabajo","es-UY","trabajo","Trabajo","14","22","21","10","41","4","106","50","4","2026-08-31"
"uy/trabajo/estudio-y-vida-cotidiana","es-UY","trabajo","¿Qué resultado necesito para decidir?","2","7","5","5","7","2","30","36","11","2026-07-28"
"uy/trabajo/liquidacion-final","es-UY","trabajo","¿Cuánto te tienen que pagar cuando se termina el trabajo?","4","5","5","3","11","6","39","82","11","2026-07-28"
"uy/trabajo/prestaciones-bps","es-UY","trabajo","Cuando se corta el sueldo, ¿cuánto te paga el BPS?","4","5","5","2","11","4","37","64","11","2026-07-28"
"uy/trabajo/sueldo-liquido","es-UY","trabajo","De tu sueldo nominal, ¿cuánto te queda realmente en mano?","4","5","6","4","12","12","47","100","11","2026-08-16"
"ve","es-VE","ve","Tus cuentas en bolívares, sin perder de vista el dólar.","26","62","37","23","66","11","209","100","5","2026-08-31"
"ve/finanzas","es-VE","finanzas","Finanzas","6","15","8","7","17","2","55","60","5","2026-08-31"
"ve/finanzas/credito-y-gasolina","es-VE","finanzas","¿Cuánto pago y cuánto ahorro cada mes?","2","6","3","3","7","2","25","14","7","2026-08-16"
"ve/finanzas/dolar-y-bolivares","es-VE","finanzas","Cuánto es esto en bolívares hoy (y al revés).","4","9","5","4","10","12","49","86","7","2026-07-28"
"ve/impuestos","es-VE","impuestos","Impuestos","5","12","7","4","11","1","47","40","5","2026-08-31"
"ve/impuestos/islr-y-tributos-seniat","es-VE","impuestos","Cuánto le debo al SENIAT.","5","12","7","4","11","7","53","100","7","2026-07-28"
"ve/trabajo","es-VE","trabajo","Trabajo","12","24","17","9","31","3","95","80","5","2026-08-31"
"ve/trabajo/ivss-y-deducciones","es-VE","trabajo","Qué me descuentan del sueldo y qué me devuelve el IVSS.","4","8","5","5","10","5","41","43","7","2026-07-28"
"ve/trabajo/liquidacion-lottt","es-VE","trabajo","Me voy o me sacan. ¿Cuánto me tienen que pagar?","4","7","6","4","11","9","46","57","7","2026-07-28"
"ve/trabajo/sueldo-y-recargos","es-VE","trabajo","Tu sueldo no es solo el salario.","4","9","6","4","10","8","47","71","7","2026-07-28"
"ve/vida","es-VE","vida","Salud, estudio y trámites","3","11","5","5","7","1","35","20","5","2026-08-31"
"ve/vida/salud-estudio-y-tramites","es-VE","vida","¿Qué número necesito para mi salud, estudio o trámite?","3","11","5","5","7","3","37","29","7","2026-08-16"
"viajes","es","viajes","Disfrutá el destino. Nosotros hacemos las cuentas.","36","91","47","37","96","8","275","70","30","2026-08-31"
"viajes/aeropuerto","es","viajes","Llegá con tiempo.No con ansiedad.","2","11","6","6","12","8","45","45","211","2026-07-27"
"viajes/antes-de-volar","es","viajes","Ya tenés el pasaje. Ahora, lo que hay que resolver antes de volar.","4","14","4","3","12","7","47","56","211","2026-07-27"
"viajes/equipaje","es","viajes","Armá la valija con criterio, no con ansiedad.","4","12","8","8","12","8","54","81","211","2026-07-27"
"viajes/hora-mundial","es","viajes","La hora de allá, sin hacer cuentas.","1","4","6","6","12","5","33","5","211","2026-07-27"
"viajes/millas","es","viajes","¿Cuántas millasnecesitás paraese viaje?","1","7","5","5","12","5","34","6","211","2026-08-07"
"viajes/presupuesto-de-viaje","es","viajes","¿Cuánta plata necesitás para ese viaje?","8","20","4","4","12","13","67","96","211","2026-07-27"
"viajes/valen-millas","es","viajes","¿Usás las millaso pagás elpasaje?","6","9","6","6","12","8","51","70","211","2026-07-27"
"viajes/visas-y-tramites","es","viajes","¿Necesitás visa para ese viaje? Veamos cuánto sale y cuánto tarda","10","14","8","8","12","13","73","99","211","2026-07-27"
"vivienda","es","vivienda","Entrar, mantener y mejorar. Con todas las cuentas claras.","13","23","18","13","34","3","98","23","30","2026-08-31"
"vivienda/credito-hipotecario","es","vivienda","¿Podés sostener el crédito, no solo conseguirlo?","4","9","7","5","11","9","50","68","211","2026-07-27"
"vivienda/gastos-de-escritura","es","vivienda","La propiedad valeuna cifra. Entrar,un poco más.","4","4","6","5","11","13","47","56","211","2026-07-27"
"vivienda/rentabilidad-de-un-alquiler","es","vivienda","Tenés una propiedad: veamos cuánto rinde de verdad.","5","10","5","5","12","8","48","60","211","2026-07-27"
